inicio,fim,diff
732569,732572,331.0
732568,732568,-394.0
732566,732567,773.0
732559,732565,341.0
732555,732558,1460.0
732554,732554,-81.0
732553,732553,10.0
732552,732552,-80.0
732547,732551,863.0
732541,732546,-284.0
732538,732540,1227.0
732534,732537,17.0
732533,732533,99.0
732530,732532,-101.0
732525,732527,994.0
732523,732524,66.0
732519,732520,788.0
732518,732518,-87.0
732516,732517,1157.0
732512,732513,602.0
732510,732511,1908.0
732504,732509,717.0
732502,732503,451.0
732499,732499,-439.0
732498,732498,153.0
732497,732497,-988.0
732490,732496,2994.0
732488,732489,-223.0
732485,732485,347.0
732484,732484,-227.0
732483,732483,915.0
732481,732482,245.0
732476,732478,1550.0
732471,732475,1204.0
732470,732470,176.0
732467,732469,86.0
732462,732464,1525.0
732460,732461,-1247.0
732456,732457,2707.0
732448,732455,3001.0
732447,732447,145.0
732441,732446,1347.0
732435,732440,1063.0
732434,732434,-96.0
732429,732433,1263.0
732428,732428,-659.0
732427,732427,671.0
732421,732426,175.0
732418,732420,1839.0
732414,732414,-344.0
732413,732413,526.0
732408,732412,234.0
732399,732407,2592.0
732398,732398,-958.0
732394,732397,168.0
732393,732393,-376.0
732392,732392,453.0
732391,732391,-806.0
732390,732390,155.0
732386,732387,-22.0
732384,732385,1450.0
732383,732383,-98.0
732380,732380,563.0
732376,732379,969.0
732373,732373,111.0
732372,732372,-56.0
732364,732371,1015.0
732363,732363,-375.0
732356,732362,2418.0
732355,732355,-861.0
732351,732352,470.0
732349,732350,704.0
732348,732348,59.0
732344,732345,1136.0
732341,732343,661.0
732338,732338,-196.0
732335,732337,1380.0
732331,732334,107.0
732330,732330,1045.0
732328,732329,105.0
732324,732327,755.0
732323,732323,-174.0
732322,732322,902.0
732320,732321,-151.0
732317,732317,305.0
732316,732316,-70.0
732309,732315,1860.0
732308,732308,-233.0
732307,732307,74.0
732302,732306,153.0
732300,732301,508.0
732299,732299,-279.0
732296,732296,99.0
732295,732295,-432.0
732289,732294,1143.0
732287,732288,192.0
732286,732286,511.0
732285,732285,-134.0
732279,732282,1468.0
732275,732278,-535.0
732266,732274,1730.0
732261,732264,-80.0
732260,732260,60.0
732259,732259,-305.0
732257,732258,84.0
732254,732254,-192.0
732247,732253,1953.0
732246,732246,-597.0
732245,732245,238.0
732244,732244,-339.0
732240,732243,1489.0
732239,732239,-956.0
732238,732238,225.0
732237,732237,-1173.0
732236,732236,465.0
732232,732233,571.0
732226,732230,1380.0
732223,732225,743.0
732219,732222,649.0
732218,732218,-109.0
732217,732217,438.0
732215,732216,-111.0
732212,732212,611.0
732211,732211,-161.0
732210,732210,778.0
732209,732209,-17.0
732203,732208,1202.0
732201,732202,11.0
732198,732198,471.0
732197,732197,-27.0
732191,732195,879.0
732190,732190,-82.0
732187,732189,910.0
732184,732184,-302.0
732183,732183,690.0
732181,732182,435.0
732180,732180,614.0
732176,732177,230.0
732175,732175,332.0
732174,732174,-296.0
732170,732173,737.0
732168,732169,-292.0
732163,732167,819.0
732161,732162,-169.0
732159,732160,720.0
732156,732156,-23.0
732153,732155,1546.0
732149,732152,-414.0
732147,732148,573.0
732146,732146,-41.0
732145,732145,99.0
732142,732142,-694.0
732138,732141,1460.0
732131,732135,830.0
732128,732128,260.0
732126,732127,60.0
732121,732125,450.0
732117,732120,-439.0
732113,732114,613.0
732112,732112,-263.0
732111,732111,846.0
732110,732110,-53.0
732107,732107,467.0
732100,732106,1719.0
732098,732099,1430.0
732097,732097,-219.0
732093,732096,951.0
732091,732091,-63.0
732090,732090,330.0
732085,732089,48.0
732082,732084,1035.0
732075,732079,1252.0
732072,732072,152.0
732071,732071,-42.0
732069,732070,741.0
732068,732068,-142.0
732065,732065,390.0
732063,732064,-745.0
732061,732062,536.0
732056,732058,209.0
732054,732055,910.0
732049,732051,881.0
732047,732048,322.0
732044,732044,-420.0
732043,732043,613.0
732040,732042,389.0
732035,732037,911.0
732033,732034,31.0
732029,732029,435.0
732023,732028,1107.0
732021,732022,502.0
732020,732020,-519.0
732019,732019,24.0
732016,732016,-492.0
732015,732015,56.0
732012,732014,-64.0
732007,732009,1455.0
732002,732006,-117.0
732000,732001,1690.0
731999,731999,-116.0
731998,731998,123.0
731995,731995,-330.0
731994,731994,706.0
731993,731993,-227.0
731992,731992,78.0
731991,731991,-128.0
731979,731988,2521.0
731978,731978,-243.0
731977,731977,381.0
731973,731974,461.0
731967,731972,902.0
731966,731966,-661.0
731965,731965,180.0
731963,731964,-17.0
731957,731960,620.0
731956,731956,-455.0
731953,731953,371.0
731949,731952,1184.0
731938,731945,483.0
731937,731937,-169.0
731936,731936,353.0
731932,731935,52.0
731925,731931,1310.0
731922,731924,219.0
731918,731921,409.0
731917,731917,-35.0
731915,731916,379.0
731914,731914,-145.0
731909,731911,655.0
731908,731908,-106.0
731907,731907,411.0
731903,731904,-89.0
731902,731902,398.0
731901,731901,-263.0
731894,731897,810.0
731890,731893,-8.0
731883,731889,935.0
731882,731882,-242.0
731880,731881,556.0
731876,731879,194.0
731875,731875,186.0
731873,731874,498.0
731869,731872,450.0
731867,731868,336.0
731865,731865,26.0
731862,731862,-193.0
731861,731861,90.0
731860,731860,-178.0
731854,731859,987.0
731853,731853,-22.0
731852,731852,397.0
731851,731851,-147.0
731847,731848,223.0
731846,731846,-357.0
731845,731845,28.0
731844,731844,-1.0
731838,731841,1261.0
731833,731837,397.0
731830,731832,112.0
731827,731827,-273.0
731826,731826,172.0
731824,731825,-207.0
731820,731823,283.0
731819,731819,-465.0
731817,731818,195.0
731816,731816,-353.0
731809,731813,1791.0
731804,731806,1.0
731803,731803,476.0
731802,731802,-392.0
731799,731799,312.0
731796,731798,-572.0
731789,731795,1118.0
731783,731788,464.0
731782,731782,246.0
731781,731781,-343.0
731777,731778,769.0
731776,731776,-3.0
731774,731775,791.0
731769,731770,-261.0
731761,731767,1310.0
731760,731760,-399.0
731757,731757,42.0
731756,731756,-129.0
731755,731755,637.0
731753,731754,-51.0
731750,731750,3.0
731749,731749,-125.0
731747,731748,961.0
731740,731746,253.0
731736,731739,1036.0
731735,731735,-323.0
731733,731734,165.0
731729,731732,-60.0
731722,731728,1486.0
731721,731721,-448.0
731719,731720,517.0
731718,731718,-487.0
731714,731715,266.0
731713,731713,-217.0
731712,731712,930.0
731707,731711,381.0
731704,731706,379.0
731697,731701,1466.0
731693,731694,512.0
731690,731691,-403.0
731687,731687,42.0
731684,731686,-110.0
731679,731683,329.0
731677,731678,-544.0
731670,731676,1613.0
731669,731669,-13.0
731665,731666,555.0
731659,731664,935.0
731656,731658,1129.0
731655,731655,-542.0
731652,731652,1006.0
731649,731651,413.0
731645,731648,595.0
731644,731644,-149.0
731643,731643,108.0
731642,731642,-54.0
731638,731641,1038.0
731637,731637,-158.0
731631,731636,656.0
731629,731630,-617.0
731628,731628,231.0
731623,731627,330.0
731621,731622,1259.0
731620,731620,-8.0
731617,731617,877.0
731615,731616,11.0
731614,731614,487.0
731607,731613,2444.0
731603,731606,1381.0
731601,731602,48.0
731596,731600,711.0
731593,731595,407.0
731588,731592,919.0
731587,731587,-256.0
731571,731586,2178.0
731568,731568,-103.0
731565,731567,776.0
731561,731564,58.0
731560,731560,325.0
731559,731559,-285.0
731554,731558,840.0
731553,731553,-126.0
731552,731552,78.0
731551,731551,-65.0
731546,731550,825.0
731545,731545,-115.0
731539,731544,984.0
731538,731538,-12.0
731537,731537,144.0
731536,731536,-316.0
731533,731533,223.0
731532,731532,-40.0
731531,731531,385.0
731529,731530,-63.0
731525,731526,364.0
731524,731524,-238.0
731522,731523,556.0
731519,731519,-113.0
731518,731518,149.0
731517,731517,-283.0
731516,731516,478.0
731515,731515,-70.0
731512,731512,127.0
731510,731511,-331.0
731508,731509,658.0
731505,731505,-132.0
731504,731504,11.0
731503,731503,-234.0
731501,731502,501.0
731497,731498,74.0
731489,731496,1778.0
731488,731488,-98.0
731484,731487,303.0
731477,731483,583.0
731475,731476,609.0
731473,731474,-3.0
731468,731470,712.0
731467,731467,-333.0
731456,731466,977.0
731455,731455,-86.0
731453,731454,670.0
731449,731452,-83.0
731434,731448,1766.0
731433,731433,-172.0
731432,731432,119.0
731428,731431,260.0
731427,731427,97.0
